"","Ethnicity","Title","Gender","Employee Age","Participated","Retained","HOME ORG CODE","Years of Service","Strata","Deidentified ID","title_status","Age","title_binary","strata_binary_10_15","strata_binary_5_10","strata_binary_less_5","strata_binary_greater_15","ethnicity_binary_african_am","ethnicity_binary_caucasian","ethnicity_binary_asian","ethnicity_binary_latina","ethnicity_binary_other","gender_binary_female","gender_binary_male","employeeage","HomeOrgCode","YearsOfService"
"51","CAUCASIAN","TEACHER,FULL TIME","F",49,0,"0","6360",25,"greater than or equal to 15",100864,"teacher","40s",1,0,0,0,1,0,1,0,0,0,1,0,49,"6360",25
"52","CAUCASIAN","TEACHER,FULL TIME","F",58,0,"0","2210",37,"greater than or equal to 15",100872,"teacher","50s",1,0,0,0,1,0,1,0,0,0,1,0,58,"2210",37
"53","AFRICAN AM","TEACHER,FULL TIME","F",60,0,"0","6220",23,"greater than or equal to 15",100876,"teacher","60s",1,0,0,0,1,1,0,0,0,0,1,0,60,"6220",23
"54","CAUCASIAN","TEACHER,FULL TIME","F",58,0,"0","9EW0",14,"10 to 15 years",100880,"teacher","50s",1,1,0,0,0,0,1,0,0,0,1,0,58,"9EW0",14
"55","CAUCASIAN","TEACHER,FULL TIME","F",58,0,"0","7120",37,"greater than or equal to 15",100900,"teacher","50s",1,0,0,0,1,0,1,0,0,0,1,0,58,"7120",37
"56","AFRICAN AM","TEACHER,FULL TIME","F",58,0,"0","2420",25,"greater than or equal to 15",100908,"teacher","50s",1,0,0,0,1,1,0,0,0,0,1,0,58,"2420",25
"57","CAUCASIAN","TEACHER,FULL TIME","M",61,0,"0","6300",23,"greater than or equal to 15",100912,"teacher","60s",1,0,0,0,1,0,1,0,0,0,0,1,61,"6300",23
"58","CAUCASIAN","TEACHER,FULL TIME","F",60,0,"0","7370",20,"greater than or equal to 15",100916,"teacher","60s",1,0,0,0,1,0,1,0,0,0,1,0,60,"7370",20
"59","CAUCASIAN","TEACHER,FULL TIME","M",60,0,"0","7530",23,"greater than or equal to 15",100928,"teacher","60s",1,0,0,0,1,0,1,0,0,0,0,1,60,"7530",23
"60","CAUCASIAN","TEACHER,FULL TIME","F",62,0,"0","6450",25,"greater than or equal to 15",100932,"teacher","60s",1,0,0,0,1,0,1,0,0,0,1,0,62,"6450",25
"61","CAUCASIAN","TEACHER,FULL TIME","F",58,0,"1","1440",26,"greater than or equal to 15",100984,"teacher","50s",1,0,0,0,1,0,1,0,0,0,1,0,58,"1440",26
"62","AFRICAN AM","TEACHER,FULL TIME","F",62,0,"1","6380",25,"greater than or equal to 15",100988,"teacher","60s",1,0,0,0,1,1,0,0,0,0,1,0,62,"6380",25
"63","CAUCASIAN","TEACHER,FULL TIME","F",48,0,"1","1440",23,"greater than or equal to 15",100996,"teacher","40s",1,0,0,0,1,0,1,0,0,0,1,0,48,"1440",23
"64","AFRICAN AM","TEACHER,FULL TIME","F",54,0,"1","7390",22,"greater than or equal to 15",101048,"teacher","50s",1,0,0,0,1,1,0,0,0,0,1,0,54,"7390",22
"65","CAUCASIAN","TEACHER,SPEC EDUCATION","F",57,0,"0","1080",33,"greater than or equal to 15",101052,"teacher","50s",1,0,0,0,1,0,1,0,0,0,1,0,57,"1080",33
"66","AFRICAN AM","TEACHER,SPEC EDUCATION","F",61,0,"1","5410",37,"greater than or equal to 15",101084,"teacher","60s",1,0,0,0,1,1,0,0,0,0,1,0,61,"5410",37
"67","AFRICAN AM","TEACHER,FULL TIME","M",57,0,"0","8300",26,"greater than or equal to 15",101124,"teacher","50s",1,0,0,0,1,1,0,0,0,0,0,1,57,"8300",26
"68","CAUCASIAN","TEACHER,FULL TIME","M",60,0,"0","5450",17,"greater than or equal to 15",10116,"teacher","60s",1,0,0,0,1,0,1,0,0,0,0,1,60,"5450",17
"69","AFRICAN AM","TEACHER,FULL TIME","M",54,0,"1","1440",18,"greater than or equal to 15",101160,"teacher","50s",1,0,0,0,1,1,0,0,0,0,0,1,54,"1440",18
"70","CAUCASIAN","TEACHER,FULL TIME","F",52,0,"1","8400",26,"greater than or equal to 15",101172,"teacher","50s",1,0,0,0,1,0,1,0,0,0,1,0,52,"8400",26
"71","CAUCASIAN","TEACHER,FULL TIME","F",45,0,"1","8340",22,"greater than or equal to 15",101184,"teacher","40s",1,0,0,0,1,0,1,0,0,0,1,0,45,"8340",22
"72","CAUCASIAN","TEACHER,FULL TIME","F",42,0,"1","7330",18,"greater than or equal to 15",101208,"teacher","40s",1,0,0,0,1,0,1,0,0,0,1,0,42,"7330",18
"73","CAUCASIAN","TEACHER,FULL TIME","F",52,0,"1","7150",20,"greater than or equal to 15",101212,"teacher","50s",1,0,0,0,1,0,1,0,0,0,1,0,52,"7150",20
"74","CAUCASIAN","TEACHER,FULL TIME","M",60,0,"0","4460",24,"greater than or equal to 15",101236,"teacher","60s",1,0,0,0,1,0,1,0,0,0,0,1,60,"4460",24
"75","CAUCASIAN","TEACHER,FULL TIME","F",58,0,"0","2720",24,"greater than or equal to 15",101260,"teacher","50s",1,0,0,0,1,0,1,0,0,0,1,0,58,"2720",24
"76","CAUCASIAN","SCHOOL COUNSELOR, 10 MONTHS","F",63,0,"0","8400",41,"greater than or equal to 15",10128,"non_classroom_teacher","60s",0,0,0,0,1,0,1,0,0,0,1,0,63,"8400",41
"77","AFRICAN AM","TEACHER,FULL TIME","F",58,0,"1","1400",29,"greater than or equal to 15",101280,"teacher","50s",1,0,0,0,1,1,0,0,0,0,1,0,58,"1400",29
"78","CAUCASIAN","TEACHER,FULL TIME","F",60,0,"1","1420",27,"greater than or equal to 15",101284,"teacher","60s",1,0,0,0,1,0,1,0,0,0,1,0,60,"1420",27
"79","CAUCASIAN","TEACHER,SPEC EDUCATION","F",58,0,"0","8300",26,"greater than or equal to 15",101296,"teacher","50s",1,0,0,0,1,0,1,0,0,0,1,0,58,"8300",26
"80","CAUCASIAN","TEACHER,FULL TIME","F",52,0,"1","5400",23,"greater than or equal to 15",101304,"teacher","50s",1,0,0,0,1,0,1,0,0,0,1,0,52,"5400",23
"81","CAUCASIAN","TEACHER,FULL TIME","F",56,0,"1","8350",23,"greater than or equal to 15",101324,"teacher","50s",1,0,0,0,1,0,1,0,0,0,1,0,56,"8350",23
"82","CAUCASIAN","TEACHER,FULL TIME","M",61,0,"0","8090",21,"greater than or equal to 15",10136,"teacher","60s",1,0,0,0,1,0,1,0,0,0,0,1,61,"8090",21
"83","CAUCASIAN","TEACHER,FULL TIME","F",56,0,"1","1100",17,"greater than or equal to 15",101384,"teacher","50s",1,0,0,0,1,0,1,0,0,0,1,0,56,"1100",17
"84","LATINA/O","TEACHER,FULL TIME","F",55,0,"1","5340",31,"greater than or equal to 15",101432,"teacher","50s",1,0,0,0,1,0,0,0,1,0,1,0,55,"5340",31
"85","AFRICAN AM","TEACHER,SPEC EDUCATION","F",56,0,"0","1100",29,"greater than or equal to 15",101448,"teacher","50s",1,0,0,0,1,1,0,0,0,0,1,0,56,"1100",29
"86","CAUCASIAN","TEACHER,FULL TIME","F",57,0,"1","7270",22,"greater than or equal to 15",101460,"teacher","50s",1,0,0,0,1,0,1,0,0,0,1,0,57,"7270",22
"87","AFRICAN AM","TEACHER,FULL TIME","F",57,0,"1","4060",28,"greater than or equal to 15",101472,"teacher","50s",1,0,0,0,1,1,0,0,0,0,1,0,57,"4060",28
"88","AFRICAN AM","TEACHER,FULL TIME","F",43,0,"1","1290",18,"greater than or equal to 15",101492,"teacher","40s",1,0,0,0,1,1,0,0,0,0,1,0,43,"1290",18
"89","AFRICAN AM","TEACHER,FULL TIME","F",49,0,"1","1340",26,"greater than or equal to 15",101520,"teacher","40s",1,0,0,0,1,1,0,0,0,0,1,0,49,"1340",26
"90","AFRICAN AM","TEACHER,FULL TIME","F",50,0,"1","2000",20,"greater than or equal to 15",101532,"teacher","50s",1,0,0,0,1,1,0,0,0,0,1,0,50,"2000",20
"91","LATINA/O","TEACHER,FULL TIME","F",46,0,"1","5330",18,"greater than or equal to 15",101540,"teacher","40s",1,0,0,0,1,0,0,0,1,0,1,0,46,"5330",18
"92","CAUCASIAN","TEACHER,FULL TIME","F",50,0,"1","5590",24,"greater than or equal to 15",101600,"teacher","50s",1,0,0,0,1,0,1,0,0,0,1,0,50,"5590",24
"93","AFRICAN AM","SCHOOL COUNSELOR, 10 MONTHS","F",55,0,"1","6200",20,"greater than or equal to 15",101624,"non_classroom_teacher","50s",0,0,0,0,1,1,0,0,0,0,1,0,55,"6200",20
"94","AFRICAN AM","TEACHER,FULL TIME","M",56,0,"1","6220",27,"greater than or equal to 15",101640,"teacher","50s",1,0,0,0,1,1,0,0,0,0,0,1,56,"6220",27
"95","AFRICAN AM","TEACHER,FULL TIME","M",57,0,"0","7280",15,"greater than or equal to 15",101656,"teacher","50s",1,0,0,0,1,1,0,0,0,0,0,1,57,"7280",15
"96","CAUCASIAN","TEACHER,FULL TIME","F",51,0,"1","5470",28,"greater than or equal to 15",101664,"teacher","50s",1,0,0,0,1,0,1,0,0,0,1,0,51,"5470",28
"97","CAUCASIAN","TEACHER,FULL TIME","F",47,0,"1","7530",21,"greater than or equal to 15",101668,"teacher","40s",1,0,0,0,1,0,1,0,0,0,1,0,47,"7530",21
"98","CAUCASIAN","TEACHER,FULL TIME","F",48,0,"1","8400",22,"greater than or equal to 15",101688,"teacher","40s",1,0,0,0,1,0,1,0,0,0,1,0,48,"8400",22
"99","AFRICAN AM","TEACHER,FULL TIME","M",53,0,"1","7510",28,"greater than or equal to 15",101696,"teacher","50s",1,0,0,0,1,1,0,0,0,0,0,1,53,"7510",28
"100","ASIAN/PAC","SCHOOL COUNSELOR, 10 MONTHS","M",68,0,"0","2000",22,"greater than or equal to 15",101728,"non_classroom_teacher","60s",0,0,0,0,1,0,0,0,0,0,0,1,68,"2000",22
"101","AFRICAN AM","TEACHER,FULL TIME","F",62,0,"0","8270",21,"greater than or equal to 15",10176,"teacher","60s",1,0,0,0,1,1,0,0,0,0,1,0,62,"8270",21
"102","CAUCASIAN","TEACHER,FULL TIME","F",51,0,"1","8350",22,"greater than or equal to 15",101776,"teacher","50s",1,0,0,0,1,0,1,0,0,0,1,0,51,"8350",22
"103","CAUCASIAN","TEACHER,FULL TIME","M",46,0,"1","8020",18,"greater than or equal to 15",101780,"teacher","40s",1,0,0,0,1,0,1,0,0,0,0,1,46,"8020",18
"104","CAUCASIAN","TEACHER,FULL TIME","F",44,0,"1","8272",18,"greater than or equal to 15",101788,"teacher","40s",1,0,0,0,1,0,1,0,0,0,1,0,44,"8272",18
"105","CAUCASIAN","TEACHER,FULL TIME","M",43,0,"1","2370",20,"greater than or equal to 15",101796,"teacher","40s",1,0,0,0,1,0,1,0,0,0,0,1,43,"2370",20
"106","AFRICAN AM","TEACHER,SPEC EDUCATION","F",64,0,"0","4220",37,"greater than or equal to 15",10180,"teacher","60s",1,0,0,0,1,1,0,0,0,0,1,0,64,"4220",37
"107","CAUCASIAN","TEACHER,FULL TIME","M",43,0,"1","9EP0",19,"greater than or equal to 15",101824,"teacher","40s",1,0,0,0,1,0,1,0,0,0,0,1,43,"9EP0",19
"108","CAUCASIAN","TEACHER,FULL TIME","F",45,0,"1","8250",20,"greater than or equal to 15",101828,"teacher","40s",1,0,0,0,1,0,1,0,0,0,1,0,45,"8250",20
"109","AFRICAN AM","TEACHER,FULL TIME","F",52,0,"1","2370",18,"greater than or equal to 15",101848,"teacher","50s",1,0,0,0,1,1,0,0,0,0,1,0,52,"2370",18
"110","CAUCASIAN","TEACHER,FULL TIME","F",45,0,"1","1231",22,"greater than or equal to 15",101852,"teacher","40s",1,0,0,0,1,0,1,0,0,0,1,0,45,"1231",22
"111","CAUCASIAN","TEACHER,FULL TIME","F",67,0,"0","2370",22,"greater than or equal to 15",101892,"teacher","60s",1,0,0,0,1,0,1,0,0,0,1,0,67,"2370",22
"112","CAUCASIAN","TEACHER,FULL TIME","F",58,0,"0","6250",22,"greater than or equal to 15",101904,"teacher","50s",1,0,0,0,1,0,1,0,0,0,1,0,58,"6250",22
"113","CAUCASIAN","TEACHER,FULL TIME","M",63,0,"0","4140",40,"greater than or equal to 15",101964,"teacher","60s",1,0,0,0,1,0,1,0,0,0,0,1,63,"4140",40
"114","AFRICAN AM","TEACHER,SPEC EDUCATION","F",62,0,"0","4480",18,"greater than or equal to 15",101976,"teacher","60s",1,0,0,0,1,1,0,0,0,0,1,0,62,"4480",18
"115","AFRICAN AM","TEACHER,FULL TIME","F",59,0,"1","1380",26,"greater than or equal to 15",101980,"teacher","50s",1,0,0,0,1,1,0,0,0,0,1,0,59,"1380",26
"116","AFRICAN AM","TEACHER,FULL TIME","F",50,0,"1","1290",20,"greater than or equal to 15",102020,"teacher","50s",1,0,0,0,1,1,0,0,0,0,1,0,50,"1290",20
"117","CAUCASIAN","TEACHER,FULL TIME","F",47,0,"1","6220",25,"greater than or equal to 15",102028,"teacher","40s",1,0,0,0,1,0,1,0,0,0,1,0,47,"6220",25
"118","CAUCASIAN","TEACHER,FULL TIME","F",54,0,"1","7440",22,"greater than or equal to 15",102060,"teacher","50s",1,0,0,0,1,0,1,0,0,0,1,0,54,"7440",22
"119","AFRICAN AM","TEACHER,FULL TIME","F",60,0,"0","8160",16,"greater than or equal to 15",102084,"teacher","60s",1,0,0,0,1,1,0,0,0,0,1,0,60,"8160",16
"120","CAUCASIAN","SCHOOL COUNSELOR, 10 MONTHS","F",60,0,"1","8030",21,"greater than or equal to 15",102088,"non_classroom_teacher","60s",0,0,0,0,1,0,1,0,0,0,1,0,60,"8030",21
"121","AFRICAN AM","TEACHER,FULL TIME","F",69,0,"0","2440",38,"greater than or equal to 15",102104,"teacher","60s",1,0,0,0,1,1,0,0,0,0,1,0,69,"2440",38
"122","AFRICAN AM","TEACHER,SPEC EDUCATION","F",64,0,"0","8010",37,"greater than or equal to 15",102220,"teacher","60s",1,0,0,0,1,1,0,0,0,0,1,0,64,"8010",37
"123","CAUCASIAN","TEACHER,FULL TIME","M",59,0,"0","8370",7,"5 to less than 10 years",10224,"teacher","50s",1,0,1,0,0,0,1,0,0,0,0,1,59,"8370",7
"124","AFRICAN AM","TEACHER,SPEC EDUCATION","F",61,0,"0","7260",21,"greater than or equal to 15",102240,"teacher","60s",1,0,0,0,1,1,0,0,0,0,1,0,61,"7260",21
"125","ASIAN/PAC","TEACHER,FULL TIME","F",60,0,"0","1270",26,"greater than or equal to 15",102244,"teacher","60s",1,0,0,0,1,0,0,0,0,0,1,0,60,"1270",26
"126","CAUCASIAN","SCHOOL COUNSELOR, 10 MONTHS","F",49,0,"1","5080",20,"greater than or equal to 15",102248,"non_classroom_teacher","40s",0,0,0,0,1,0,1,0,0,0,1,0,49,"5080",20
"127","CAUCASIAN","TEACHER,FULL TIME","M",49,0,"1","4350",27,"greater than or equal to 15",102264,"teacher","40s",1,0,0,0,1,0,1,0,0,0,0,1,49,"4350",27
"128","CAUCASIAN","TEACHER,FULL TIME","M",52,0,"1","4020",24,"greater than or equal to 15",102268,"teacher","50s",1,0,0,0,1,0,1,0,0,0,0,1,52,"4020",24
"129","CAUCASIAN","TEACHER,FULL TIME","F",61,0,"1","8440",27,"greater than or equal to 15",10228,"teacher","60s",1,0,0,0,1,0,1,0,0,0,1,0,61,"8440",27
"130","CAUCASIAN","TEACHER,FULL TIME","F",69,0,"0","8120",17,"greater than or equal to 15",102300,"teacher","60s",1,0,0,0,1,0,1,0,0,0,1,0,69,"8120",17
"131","AFRICAN AM","TEACHER,SPEC EDUCATION","F",61,0,"0","8310",31,"greater than or equal to 15",102332,"teacher","60s",1,0,0,0,1,1,0,0,0,0,1,0,61,"8310",31
"132","CAUCASIAN","TEACHER,FULL TIME","F",51,0,"1","5150",24,"greater than or equal to 15",102364,"teacher","50s",1,0,0,0,1,0,1,0,0,0,1,0,51,"5150",24
"133","AFRICAN AM","TEACHER,FULL TIME","M",69,0,"0","1330",16,"greater than or equal to 15",102396,"teacher","60s",1,0,0,0,1,1,0,0,0,0,0,1,69,"1330",16
"134","AFRICAN AM","TEACHER,FULL TIME","F",41,0,"1","6352",18,"greater than or equal to 15",1024,"teacher","40s",1,0,0,0,1,1,0,0,0,0,1,0,41,"6352",18
"135","CAUCASIAN","TEACHER,FULL TIME","F",62,0,"0","7200",21,"greater than or equal to 15",10240,"teacher","60s",1,0,0,0,1,0,1,0,0,0,1,0,62,"7200",21
"136","CAUCASIAN","TEACHER,FULL TIME","M",64,0,"0","6410",36,"greater than or equal to 15",102424,"teacher","60s",1,0,0,0,1,0,1,0,0,0,0,1,64,"6410",36
"137","CAUCASIAN","TEACHER,FULL TIME","F",61,0,"0","4530",20,"greater than or equal to 15",102448,"teacher","60s",1,0,0,0,1,0,1,0,0,0,1,0,61,"4530",20
"138","CAUCASIAN","TEACHER,SPEC EDUCATION","F",56,0,"1","6300",33,"greater than or equal to 15",102464,"teacher","50s",1,0,0,0,1,0,1,0,0,0,1,0,56,"6300",33
"139","AFRICAN AM","TEACHER,FULL TIME","F",47,0,"1","6010",17,"greater than or equal to 15",102476,"teacher","40s",1,0,0,0,1,1,0,0,0,0,1,0,47,"6010",17
"140","CAUCASIAN","TEACHER,FULL TIME","F",64,0,"0","2260",20,"greater than or equal to 15",10248,"teacher","60s",1,0,0,0,1,0,1,0,0,0,1,0,64,"2260",20
"141","ASIAN/PAC","TEACHER,DEMONSTRATION","M",64,0,"0","2140",21,"greater than or equal to 15",102492,"non_classroom_teacher","60s",0,0,0,0,1,0,0,0,0,0,0,1,64,"2140",21
"142","CAUCASIAN","TEACHER,SPEC EDUCATION","F",61,0,"0","7220",31,"greater than or equal to 15",102508,"teacher","60s",1,0,0,0,1,0,1,0,0,0,1,0,61,"7220",31
"143","CAUCASIAN","TEACHER,FULL TIME","F",62,0,"0","5430",25,"greater than or equal to 15",102512,"teacher","60s",1,0,0,0,1,0,1,0,0,0,1,0,62,"5430",25
